Korai osztrák - magyar szablya;Használt;Élettartam garancia;46000;150000;Heves megye;https://www.vatera.hu/korai-osztrak-magyar-szablya-3213377345.html;Nem
M1869 Osztrák-Magyar Monarchiás Solingeni pengés lovastiszti kard huszártiszti szablya;Használt;Nincs;62500;Csak Licit;Békés megye;https://www.vatera.hu/m1869-osztrak-magyar-monarchias-solingeni-penges-lovastiszti-kard-huszartiszti-szablya-3211923497.html;Nem
Csappantyús pisztoly;Használt;Élettartam garancia;28001;75000;Heves megye;https://www.vatera.hu/csappantyus-pisztoly-3210106889.html;Nem
NAGY! SZARVASGYILOK VADÁSZTŐR KIS KÉS KIEGÉSZÍTŐVEL , BŐR TOKKAL BRONZ ELEMEKKEL MARATOTT PENGÉVEL !;Használt;1 hónap;36000 ;Csak Licit;Pest megye;https://www.vatera.hu/nagy-szarvasgyilok-vadasztor-kis-kes-kiegeszitovel-bor-tokkal-bronz-elemekkel-maratott-pengevel-3211019753.html;Nem
Német rakéta pisztoly.;Használt;Nincs;155000;162000;Pest megye;https://www.vatera.hu/nemet-raketa-pisztoly-3212429162.html;Nem
Kovás puska , 1800 as évek;Használt;Élettartam garancia;100000;130000;Heves megye;https://www.vatera.hu/kovas-puska-1800-as-evek-3211698263.html;Nem
Antik, talán több mint 100 éves önvédelmi eszköz - Sétapálcának álcázott vas bot bőrrel bevonva...;Használt;Kipróbálási, megtekintési;174000;Csak Licit;Győr-Moson-Sopron megye;https://www.vatera.hu/antik-talan-tobb-mint-100-eves-onvedelmi-eszkoz-setapalcanak-alcazott-vas-bot-borrel-bevonva-3212391485.html;Nem
Afgán kard , tőr;Használt;Élettartam garancia;45000;65000;Heves megye;https://www.vatera.hu/afgan-kard-tor-3210110075.html;Nem
Csendőrszurony hüvely;Használt;Nincs;41001;Csak Licit;Pest megye;https://www.vatera.hu/csendorszurony-huvely-3209727107.html;Nem
Angol csappantyús pisztoly ,szépen kidolgozott. Cartwright Norwich gyártású.;Sérült;Nincs;72000;105000;Pest megye;https://www.vatera.hu/angol-csappantyus-pisztoly-szepen-kidolgozott-cartwright-norwich-gyartasu-3215080754.html?bk_source=kiemelt_aukciok_nyito&bk_campaign=gravity&bk_content=vop_item_view_bottom&bk_term=angol%20csappantyus%20pisztoly%20,szepen%20kidolgozott.cartwright%20norwich%20gyartasu.;Nem
Kaukázusi Kindzsál;Használt;Nincs;37000;60000;Pest megye;https://www.vatera.hu/kaukazusi-kindzsal-3215121731.html?bk_source=kiemelt_aukciok_nyito&bk_campaign=gravity&bk_content=vop_item_view_bottom&bk_term=kaukazusi%20kindzsal;Nem
Legénységi gyalogcsendőr kard;Használt;Kipróbálási;43000;51999;Győr - Moson - Sopron megye;https://www.vatera.hu/legenysegi-gyalogcsendor-kard-3212401649.html?bk_source=kiemelt_aukciok_nyito&bk_campaign=gravity&bk_content=vop_item_view_bottom&bk_term=legenysegi%20gyalogcsendor%20kard;Nem
DP 28 golyószóró 1928M géppuska gyönyörű állapotban eredeti orosz izshevszki gyártás 1951 papírral;Újszerű;Nincs;168000;212000;Bács - Kiskun megye;https://www.vatera.hu/dp-28-golyoszoro-1928m-geppuska-gyonyoru-allapotban-eredeti-orosz-izshevszki-gyartas-1951-papirral-3212747480.html;Nem
Balkáni kovás puska (cibukliya), balkáni kovás lakatszerkezet, olasz mesterjegy 18. sz. (163 cm);Használt;1 hét;169000;250000;Borsod - Abaúj - Zemplén megye;https://www.vatera.hu/balkani-kovas-puska-cibukliya-balkani-kovas-lakatszerkezet-olasz-mesterjegy-18-sz-163-cm-3213860234.html;Nem
Frommer 1910 M;Használt;1 hét;50000;600000;Jász-Nagykun-Szolnok megye;https://www.vatera.hu/frommer-1910-m-3214703228.html;Nem
MP44 - STG44 gépkarabély;Használt;Kipróbálási;2000000;2500000;Borsod - Abaúj - Zemplén megye;https://www.vatera.hu/mp44-stg44-hatastalanitott-gepkarabely-3217039160.html;Nem
A legendás Smith & Wesson I.vh pisztoly papírral;Használt;Nincs;60601;Csak Licit;Pest megye;https://www.vatera.hu/a-legendas-smith-wesson-i-vh-pisztoly-hatatalanitva-papirral-1-ft-nincs-minimalar-3217892591.html?bk_source=kiemelt_aukciok_nyito&bk_campaign=gravity&bk_content=rwd_index_sponsored&bk_referral=https%3A%2F%2Fwww.google.com%2F&bk_term=a%20legendas%20smith%20&%20wesson%20i.vh%20%20pisztoly%20hatatalanitva%20papirral%201%20ft%20nincs%20minimalar;Nem
Magyar I.vh 1914M kézigránát;újszerű;élettartam;16800;23000;Heves megye;https://www.vatera.hu/magyar-i-vh-1914m-hatastalanitott-kezigranat-jo-allapotban-3219695777.html;Nem
Amerikai I.vh P14 Enfield Remington;újszerű;3 hét;124900;159000;Borsod - Abaúj - Zemplén megye;https://www.vatera.hu/amerikai-i-vh-p14-enfield-remington-puska-az-angol-hadseregnek-szep-allapotban-papirral-3219096341.html;Nem
